Time,Sensor,Range,Range Variance,Azimuth,Azimuth Variance,Elevation,Elevation Variance,X,Y,Z
320.0,S1,95.1680875127548,0.010000000000000002,1.5717797430437825,3.046174197867086e-06,-0.10506578162745009,3.046174197867086e-06,94.6426366563539,0.0,-9.75190584932113
321.0,S1,95.1818589448376,0.010000000000000002,1.5701701445433827,3.046174197867086e-06,-0.1037317352041485,3.046174197867086e-06,94.61013710669471,0.0,-9.793133291263068
322.0,S1,95.0356729882434,0.010000000000000002,1.5701363633993102,3.046174197867086e-06,-0.10537487823768611,3.046174197867086e-06,94.57754689630877,0.0,-9.834324683517359
323.0,S1,95.11472290215434,0.010000000000000002,1.574431130094438,3.046174197867086e-06,-0.10121962141559497,3.046174197867086e-06,94.54486610456023,0.0,-9.875479976242422
324.0,S1,95.14288066973836,0.010000000000000002,1.569254291391038,3.046174197867086e-06,-0.10758103771082908,3.046174197867086e-06,94.51209481092283,0.0,-9.91659911964036
325.0,S1,94.90874444221066,0.010000000000000002,1.5727869714701517,3.046174197867086e-06,-0.10794007680057224,3.046174197867086e-06,94.47923309497982,0.0,-9.957682063957012
326.0,S1,94.86752872875634,0.010000000000000002,1.5732523257999624,3.046174197867086e-06,-0.10492620507721749,3.046174197867086e-06,94.44628103642388,0.0,-9.998728759482024
327.0,S1,94.80080439949384,0.010000000000000002,1.573209006196925,3.046174197867086e-06,-0.10571473476004951,3.046174197867086e-06,94.41323871505698,0.0,-10.039739156548896
328.0,S1,94.87436559613576,0.010000000000000002,1.5711987450512623,3.046174197867086e-06,-0.10719032453053781,3.046174197867086e-06,94.38010621079033,0.0,-10.080713205535055
329.0,S1,95.0670476443405,0.010000000000000002,1.570413059534377,3.046174197867086e-06,-0.10951058938724073,3.046174197867086e-06,94.34688360364424,0.0,-10.121650856861903
330.0,S1,94.9327635116304,0.010000000000000002,1.5723486827539088,3.046174197867086e-06,-0.10500239655206096,3.046174197867086e-06,94.31357097374807,0.0,-10.16255206099489
331.0,S1,94.86798800736227,0.010000000000000002,1.5712383547273916,3.046174197867086e-06,-0.10870302769066671,3.046174197867086e-06,94.28016840134009,0.0,-10.203416768443564
332.0,S1,94.77669708668502,0.010000000000000002,1.5732687082358199,3.046174197867086e-06,-0.10611227998574457,3.046174197867086e-06,94.24667596676741,0.0,-10.244244929761633
333.0,S1,94.75409309436023,0.010000000000000002,1.5693894353947626,3.046174197867086e-06,-0.10852878199576531,3.046174197867086e-06,94.21309375048587,0.0,-10.285036495547025
334.0,S1,94.74705590232176,0.010000000000000002,1.5714967049577038,3.046174197867086e-06,-0.10818379784663401,3.046174197867086e-06,94.17942183305993,0.0,-10.325791416441954
335.0,S1,94.6422661701556,0.010000000000000002,1.571960149931178,3.046174197867086e-06,-0.10859323554202245,3.046174197867086e-06,94.14566029516261,0.0,-10.366509643132968
336.0,S1,94.53013102292182,0.010000000000000002,1.569688735837468,3.046174197867086e-06,-0.10936816550945808,3.046174197867086e-06,94.11180921757537,0.0,-10.40719112635102
337.0,S1,94.50664079454874,0.010000000000000002,1.570296544495258,3.046174197867086e-06,-0.11089730295657271,3.046174197867086e-06,94.077868681188,0.0,-10.447835816871518
338.0,S1,94.59854436447492,0.010000000000000002,1.569981317386193,3.046174197867086e-06,-0.11252905941516382,3.046174197867086e-06,94.04383876699852,0.0,-10.488443665514392
339.0,S1,94.80918857279977,0.010000000000000002,1.5714109042367694,3.046174197867086e-06,-0.10977112226473809,3.046174197867086e-06,94.00971955611313,0.0,-10.529014623144151
340.0,S1,94.52795353364094,0.010000000000000002,1.5675567105541148,3.046174197867086e-06,-0.11142862411575043,3.046174197867086e-06,93.97551112974608,0.0,-10.569548640669943
341.0,S1,94.46283422206885,0.010000000000000002,1.5731998053909595,3.046174197867086e-06,-0.1115665994179609,3.046174197867086e-06,93.94121356921956,0.0,-10.61004566904561
342.0,S1,94.51876572752178,0.010000000000000002,1.571823759613208,3.046174197867086e-06,-0.11191238622790022,3.046174197867086e-06,93.9068269559636,0.0,-10.650505659269749
343.0,S1,94.62738567908022,0.010000000000000002,1.5709962084394484,3.046174197867086e-06,-0.11396689210442718,3.046174197867086e-06,93.87235137151599,0.0,-10.69092856238578
344.0,S1,94.4417400827827,0.010000000000000002,1.5709729257522427,3.046174197867086e-06,-0.11543693566875397,3.046174197867086e-06,93.83778689752218,0.0,-10.731314329481995
345.0,S1,94.2993907270623,0.010000000000000002,1.5714333767385005,3.046174197867086e-06,-0.11234313033267519,3.046174197867086e-06,93.80313361573519,0.0,-10.771662911691623
346.0,S1,94.28898633421348,0.010000000000000002,1.5703752547534067,3.046174197867086e-06,-0.1155644431418441,3.046174197867086e-06,93.76839160801548,0.0,-10.811974260192882
347.0,S1,94.29968597973834,0.010000000000000002,1.5721472212274497,3.046174197867086e-06,-0.11672677503282536,3.046174197867086e-06,93.73356095633083,0.0,-10.852248326209043
348.0,S1,94.21447285222118,0.010000000000000002,1.5694869443413098,3.046174197867086e-06,-0.1127394123237109,3.046174197867086e-06,93.69864174275637,0.0,-10.892485061008497
349.0,S1,94.36149026605659,0.010000000000000002,1.5715867680862676,3.046174197867086e-06,-0.11869934724595849,3.046174197867086e-06,93.66363404947433,0.0,-10.932684415904793
350.0,S1,94.26797675929788,0.010000000000000002,1.569621234518975,3.046174197867086e-06,-0.11378931592248417,3.046174197867086e-06,93.62853795877399,0.0,-10.972846342256723
351.0,S1,94.21278084587966,0.010000000000000002,1.5696555076420868,3.046174197867086e-06,-0.11430695474761633,3.046174197867086e-06,93.59335355305164,0.0,-11.012970791468359
352.0,S1,94.07133775319163,0.010000000000000002,1.5689109470234304,3.046174197867086e-06,-0.1158973840484115,3.046174197867086e-06,93.55808091481038,0.0,-11.053057714989118
353.0,S1,94.15035724887714,0.010000000000000002,1.5716729081075056,3.046174197867086e-06,-0.11642732264886009,3.046174197867086e-06,93.5227201266601,0.0,-11.09310706431383
354.0,S1,94.30956812503581,0.010000000000000002,1.5740694054153919,3.046174197867086e-06,-0.1161596454345061,3.046174197867086e-06,93.48727127131734,0.0,-11.133118790982788
